model,year,cylinders,engine_litres,power_hp,mass_kg,accel_0_100_s,region,fuel_efficiency_km_per_l
chevrolet chevelle malibu,1970,8,5.03,130.0,1589.0,12.0,USA,7.65
buick skylark 320,1970,8,5.74,165.0,1675.0,11.5,USA,6.38
plymouth satellite,1970,8,5.21,150.0,1559.0,11.0,USA,7.65
amc rebel sst,1970,8,4.98,150.0,1557.0,12.0,USA,6.8
ford torino,1970,8,4.95,140.0,1564.0,10.5,USA,7.23
ford galaxie 500,1970,8,7.03,198.0,1969.0,10.0,USA,6.38
chevrolet impala,1970,8,7.44,220.0,1975.0,9.0,USA,5.95
plymouth fury iii,1970,8,7.21,215.0,1956.0,8.5,USA,5.95
pontiac catalina,1970,8,7.46,225.0,2007.0,10.0,USA,5.95
amc ambassador dpl,1970,8,6.39,190.0,1746.0,8.5,USA,6.38
dodge challenger se,1970,8,6.28,170.0,1616.0,10.0,USA,6.38
plymouth 'cuda 340,1970,8,5.57,160.0,1637.0,8.0,USA,5.95
chevrolet monte carlo,1970,8,6.55,150.0,1706.0,9.5,USA,6.38
buick estate wagon (sw),1970,8,7.46,225.0,1400.0,10.0,USA,5.95
toyota corona mark ii,1970,4,1.85,95.0,1076.0,15.0,Japan,10.2
plymouth duster,1970,6,3.24,95.0,1285.0,15.5,USA,9.35
amc hornet,1970,6,3.26,97.0,1258.0,15.5,USA,7.65
ford maverick,1970,6,3.28,85.0,1173.0,16.0,USA,8.93
datsun pl510,1970,4,1.59,88.0,966.0,14.5,Japan,11.48
volkswagen 1131 deluxe sedan,1970,4,1.59,46.0,832.0,20.5,Europe,11.05
peugeot 504,1970,4,1.8,87.0,1212.0,17.5,Europe,10.63
audi 100 ls,1970,4,1.75,90.0,1102.0,14.5,Europe,10.2
saab 99e,1970,4,1.7,95.0,1077.0,17.5,Europe,10.63
bmw 2002,1970,4,1.98,113.0,1013.0,12.5,Europe,11.05
amc gremlin,1970,6,3.26,90.0,1201.0,15.0,USA,8.93
ford f250,1970,8,5.9,215.0,2093.0,14.0,USA,4.25
chevy c20,1970,8,5.03,200.0,1985.0,15.0,USA,4.25
dodge d200,1970,8,5.21,210.0,1988.0,13.5,USA,4.68
hi 1200d,1970,8,4.98,193.0,2146.0,18.5,USA,3.83
datsun pl510,1971,4,1.59,88.0,966.0,14.5,Japan,11.48
chevrolet vega 2300,1971,4,2.29,90.0,1027.0,15.5,USA,11.9
toyota corona,1971,4,1.85,95.0,1011.0,14.0,Japan,10.63
ford pinto,1971,4,1.61,,928.0,19.0,USA,10.63
amc gremlin,1971,6,3.8,100.0,1195.0,13.0,USA,8.08
plymouth satellite custom,1971,6,3.69,105.0,1560.0,15.5,USA,6.8
chevrolet chevelle malibu,1971,6,4.1,100.0,1510.0,15.5,USA,7.23
ford torino 500,1971,6,4.1,88.0,1498.0,15.5,USA,8.08
amc matador,1971,6,3.8,100.0,1491.0,15.5,USA,7.65
chevrolet impala,1971,8,5.74,165.0,1909.0,12.0,USA,5.95
pontiac catalina brougham,1971,8,6.55,175.0,2025.0,11.5,USA,5.95
ford galaxie 500,1971,8,5.75,153.0,1884.0,13.5,USA,5.95
plymouth fury iii,1971,8,5.21,150.0,1858.0,13.0,USA,5.95
dodge monaco (sw),1971,8,6.28,180.0,2248.0,11.5,USA,5.1
ford country squire (sw),1971,8,6.55,170.0,2153.0,12.0,USA,5.53
pontiac safari (sw),1971,8,6.55,175.0,2331.0,12.0,USA,5.53
amc hornet sportabout (sw),1971,6,4.23,110.0,1344.0,13.5,USA,7.65
chevrolet vega (sw),1971,4,2.29,72.0,1092.0,19.0,USA,9.35
pontiac firebird,1971,6,4.1,100.0,1489.0,15.0,USA,8.08
ford mustang,1971,6,4.1,88.0,1424.0,14.5,USA,7.65
mercury capri 2000,1971,4,2.0,86.0,1007.0,14.0,USA,9.78
opel 1900,1971,4,1.9,90.0,963.0,14.0,Europe,11.9
peugeot 304,1971,4,1.29,70.0,941.0,19.5,Europe,12.75
fiat 124b,1971,4,1.44,76.0,937.0,14.5,Europe,12.75
toyota corolla 1200,1971,4,1.16,65.0,804.0,19.0,Japan,13.18
datsun 1200,1971,4,1.18,69.0,732.0,18.0,Japan,14.88
volkswagen model 111,1971,4,1.59,60.0,832.0,19.0,Europe,11.48
plymouth cricket,1971,4,1.49,70.0,887.0,20.5,USA,11.05
toyota corona hardtop,1972,4,1.85,95.0,1033.0,15.5,Japan,10.2
dodge colt hardtop,1972,4,1.6,80.0,964.0,17.0,USA,10.63
volkswagen type 3,1972,4,1.59,54.0,1022.0,23.5,Europe,9.78
chevrolet vega,1972,4,2.29,90.0,1092.0,19.5,USA,8.5
ford pinto runabout,1972,4,2.0,86.0,1010.0,16.5,USA,8.93
chevrolet impala,1972,8,5.74,165.0,1939.0,12.0,USA,5.53
pontiac catalina,1972,8,6.55,175.0,1989.0,12.0,USA,5.95
plymouth fury iii,1972,8,5.21,150.0,1876.0,13.5,USA,6.38
ford galaxie 500,1972,8,5.75,153.0,1873.0,13.0,USA,5.95
amc ambassador sst,1972,8,4.98,150.0,1666.0,11.5,USA,7.23
mercury marquis,1972,8,7.03,208.0,2101.0,11.0,USA,4.68
buick lesabre custom,1972,8,5.74,155.0,2042.0,13.5,USA,5.53
oldsmobile delta 88 royale,1972,8,5.74,160.0,2021.0,13.5,USA,5.1
chrysler newport royal,1972,8,6.55,190.0,2006.0,12.5,USA,5.53
mazda rx2 coupe,1972,3,1.15,97.0,1057.0,13.5,Japan,8.08
amc matador (sw),1972,8,4.98,150.0,1765.0,12.5,USA,6.38
chevrolet chevelle concours (sw),1972,8,5.03,130.0,1859.0,14.0,USA,5.53
ford gran torino (sw),1972,8,4.95,140.0,1948.0,16.0,USA,5.53
plymouth satellite custom (sw),1972,8,5.21,150.0,1849.0,14.0,USA,5.95
volvo 145e (sw),1972,4,1.98,112.0,1330.0,14.5,Europe,7.65
volkswagen 411 (sw),1972,4,1.98,76.0,1139.0,18.0,Europe,9.35
peugeot 504 (sw),1972,4,1.97,87.0,1351.0,19.5,Europe,8.93
renault 12 (sw),1972,4,1.57,69.0,993.0,18.0,Europe,11.05
ford pinto (sw),1972,4,2.0,86.0,1086.0,16.0,USA,9.35
datsun 510 (sw),1972,4,1.59,92.0,1038.0,17.0,Japan,11.9
toyouta corona mark ii (sw),1972,4,1.97,97.0,1137.0,14.5,Japan,9.78
dodge colt (sw),1972,4,1.61,80.0,982.0,15.0,USA,11.9
toyota corolla 1600 (sw),1972,4,1.59,88.0,953.0,16.5,Japan,11.48
buick century 350,1973,8,5.74,175.0,1860.0,13.0,USA,5.53
amc matador,1973,8,4.98,150.0,1666.0,11.5,USA,5.95
chevrolet malibu,1973,8,5.74,145.0,1809.0,13.0,USA,5.53
ford gran torino,1973,8,4.95,137.0,1833.0,14.5,USA,5.95
dodge coronet custom,1973,8,5.21,150.0,1713.0,12.5,USA,6.38
mercury marquis brougham,1973,8,7.03,198.0,2246.0,11.5,USA,5.1
chevrolet caprice classic,1973,8,6.55,150.0,2025.0,12.0,USA,5.53
ford ltd,1973,8,5.75,158.0,1979.0,13.0,USA,5.53
plymouth fury gran sedan,1973,8,5.21,150.0,1922.0,14.5,USA,5.95
chrysler new yorker brougham,1973,8,7.21,215.0,2148.0,11.0,USA,5.53
buick electra 225 custom,1973,8,7.46,225.0,2246.0,11.0,USA,5.1
amc ambassador brougham,1973,8,5.9,175.0,1733.0,11.0,USA,5.53
plymouth valiant,1973,6,3.69,105.0,1416.0,16.5,USA,7.65
chevrolet nova custom,1973,6,4.1,100.0,1487.0,18.0,USA,6.8
amc hornet,1973,6,3.8,100.0,1336.0,16.0,USA,7.65
ford maverick,1973,6,4.1,88.0,1370.0,16.5,USA,7.65
plymouth duster,1973,6,3.24,95.0,1317.0,16.0,USA,9.78
volkswagen super beetle,1973,4,1.59,46.0,885.0,21.0,Europe,11.05
chevrolet impala,1973,8,6.55,150.0,2267.0,14.0,USA,4.68
ford country,1973,8,6.55,167.0,2225.0,12.5,USA,5.1
plymouth custom suburb,1973,8,5.9,170.0,2111.0,13.0,USA,5.53
oldsmobile vista cruiser,1973,8,5.74,180.0,2041.0,12.5,USA,5.1
amc gremlin,1973,6,3.8,100.0,1265.0,15.0,USA,7.65
toyota carina,1973,4,1.59,88.0,1034.0,19.0,Japan,8.5
chevrolet vega,1973,4,2.29,72.0,1089.0,19.5,USA,8.93
datsun 610,1973,4,1.77,94.0,1079.0,16.5,Japan,9.35
maxda rx3,1973,3,1.15,90.0,963.0,13.5,Japan,7.65
ford pinto,1973,4,2.0,85.0,1048.0,18.5,USA,8.08
mercury capri v6,1973,6,2.54,107.0,1121.0,14.0,USA,8.93
fiat 124 sport coupe,1973,4,1.61,90.0,1027.0,15.5,Europe,11.05
chevrolet monte carlo s,1973,8,5.74,145.0,1852.0,13.0,USA,6.38
pontiac grand prix,1973,8,6.55,230.0,1940.0,9.5,USA,6.8
fiat 128,1973,4,1.11,49.0,847.0,19.5,Europe,12.33
opel manta,1973,4,1.9,75.0,979.0,15.5,Europe,10.2
audi 100ls,1973,4,1.87,91.0,1171.0,14.0,Europe,8.5
volvo 144ea,1973,4,1.98,112.0,1301.0,15.5,Europe,8.08
dodge dart custom,1973,8,5.21,150.0,1542.0,11.0,USA,6.38
saab 99le,1973,4,1.98,110.0,1207.0,14.0,Europe,10.2
toyota mark ii,1973,6,2.56,122.0,1273.0,13.5,Japan,8.5
oldsmobile omega,1973,8,5.74,180.0,1662.0,11.0,USA,4.68
plymouth duster,1974,6,3.24,95.0,1407.0,16.5,USA,8.5
ford maverick,1974,6,3.28,,1304.0,17.0,USA,8.93
amc hornet,1974,6,3.8,100.0,1316.0,16.0,USA,8.08
chevrolet nova,1974,6,4.1,100.0,1513.0,17.0,USA,6.38
datsun b210,1974,4,1.29,67.0,885.0,19.0,Japan,13.18
ford pinto,1974,4,2.0,80.0,1112.0,16.5,USA,11.05
toyota corolla 1200,1974,4,1.16,65.0,833.0,21.0,Japan,13.6
chevrolet vega,1974,4,2.29,75.0,1153.0,17.0,USA,10.63
chevrolet chevelle malibu classic,1974,6,4.1,100.0,1715.0,17.0,USA,6.8
amc matador,1974,6,4.23,110.0,1647.0,18.0,USA,6.8
plymouth satellite sebring,1974,6,3.69,105.0,1639.0,16.5,USA,7.65
ford gran torino,1974,8,4.95,140.0,1878.0,14.0,USA,6.8
buick century luxus (sw),1974,8,5.74,150.0,2131.0,14.5,USA,5.53
dodge coronet custom (sw),1974,8,5.21,150.0,2022.0,13.5,USA,5.95
ford gran torino (sw),1974,8,4.95,140.0,2104.0,16.0,USA,5.95
amc matador (sw),1974,8,4.98,150.0,1931.0,15.5,USA,5.95
audi fox,1974,4,1.61,83.0,1007.0,16.5,Europe,12.33
volkswagen dasher,1974,4,1.29,67.0,890.0,15.5,Europe,11.05
opel manta,1974,4,1.59,78.0,1043.0,14.5,Europe,11.05
toyota corona,1974,4,1.25,52.0,748.0,16.5,Japan,13.18
datsun 710,1974,4,1.36,61.0,909.0,19.0,Japan,13.6
dodge colt,1974,4,1.47,75.0,964.0,14.5,USA,11.9
fiat 128,1974,4,1.47,75.0,956.0,15.5,Europe,10.2
fiat 124 tc,1974,4,1.9,75.0,1019.0,14.0,Europe,11.05
honda civic,1974,4,1.97,97.0,1129.0,15.0,Japan,10.2
subaru,1974,4,1.77,93.0,1085.0,15.5,Japan,11.05
fiat x1.9,1974,4,1.29,67.0,907.0,16.0,Europe,13.18
plymouth valiant custom,1975,6,3.69,95.0,1481.0,16.0,USA,8.08
chevrolet nova,1975,6,4.1,105.0,1569.0,16.0,USA,7.65
mercury monarch,1975,6,4.1,72.0,1557.0,21.0,USA,6.38
ford maverick,1975,6,4.1,72.0,1432.0,19.5,USA,6.38
pontiac catalina,1975,8,6.55,170.0,2117.0,11.5,USA,6.8
chevrolet bel air,1975,8,5.74,145.0,2014.0,14.0,USA,6.38
plymouth grand fury,1975,8,5.21,150.0,2040.0,14.5,USA,6.8
ford ltd,1975,8,5.75,148.0,2112.0,13.5,USA,5.95
buick century,1975,6,3.79,110.0,1772.0,21.0,USA,7.23
chevroelt chevelle malibu,1975,6,4.1,105.0,1768.0,18.5,USA,6.8
amc matador,1975,6,4.23,110.0,1692.0,19.0,USA,6.38
plymouth fury,1975,6,3.69,95.0,1717.0,19.0,USA,7.65
buick skyhawk,1975,6,3.79,110.0,1378.0,15.0,USA,8.93
chevrolet monza 2+2,1975,8,4.29,110.0,1461.0,13.5,USA,8.5
ford mustang ii,1975,8,4.95,129.0,1437.0,12.0,USA,5.53
toyota corolla,1975,4,1.59,75.0,985.0,16.0,Japan,12.33
ford pinto,1975,4,2.29,83.0,1197.0,17.0,USA,9.78
amc gremlin,1975,6,3.8,100.0,1322.0,16.0,USA,8.5
pontiac astro,1975,4,2.29,78.0,1176.0,18.5,USA,9.78
toyota corona,1975,4,2.2,96.0,1226.0,13.5,Japan,10.2
volkswagen dasher,1975,4,1.47,71.0,1008.0,16.5,Europe,10.63
datsun 710,1975,4,1.95,97.0,1154.0,17.0,Japan,10.2
ford pinto,1975,6,2.8,97.0,1354.0,14.5,USA,7.65
